NAME,room type,price,review rate,house_rule,city,latitude,longitude
호텔더디자이너스 청량리,호텔,0,2.9,"주차가능,휠체어사용,예약가능,포장가능,배달가능,와이파이",서울 구로구,37.4831594,126.8998387
호텔더캐슬 방이2호점,호텔,0,3.3,,서울 중구,,
레이크호텔,호텔,0,3.6,,서울 용산구,37.5506849,126.9726737
리베라호텔 청담,호텔,0,3.7,주차가능,서울 중구,37.5613772,126.9765197
호텔볼,호텔,0,3.9,,서울 중구,37.5569752,126.9726034
호텔삼정 제1주차장,호텔,0,3.6,,서울 중구,37.5652459,126.9909305
호텔스카이파크 센트럴명동점,이탈리안,0,2.6,"주차가능,휠체어사용,포장가능,배달가능,흡연실,와이파이",서울 서초구,37.4927615,127.0107048
호텔이채3,"여관,모텔",0,1,,서울 강남구,37.5006569,127.0387441
호텔카푸치노,유스호스텔,0,3.2,,서울 중구,37.5599621,127.0180821
더프리마호텔 종로점,게스트하우스,0,4.8,,서울 서대문구,37.5591659,126.9446652
GMS호텔,게스트하우스,0,3.6,"주차가능,휠체어사용,예약가능,와이파이",서울 종로구,37.583751,126.9841714
호텔PJ 명동,"여관,모텔",0,3.6,,서울 금천구,37.5693989,127.0698815
신촌호텔가을,유스호스텔,0,3.1,,서울 영등포구,37.5193138,126.901004
호텔국도,도시형생활주택,0,3.6,"주차가능,예약가능,와이파이",서울 성북구,37.5777643,127.0139794
호텔더디자이너스 동대문,펜션,0,2.6,,서울 강북구,37.6679856,127.0087575
호텔더디자이너스 서울역점,게스트하우스,0,3.6,,서울 종로구,37.5774641,126.9707029
호텔디아티스트 연신내점,한옥숙소,0,3.5,"주차가능,반려견동반,휠체어사용,예약가능,와이파이",서울 종로구,37.5798566,126.9696031
호텔디아티스트 연신내점,한옥숙소,0,3.5,"주차가능,반려견동반,휠체어사용,예약가능,와이파이",서울 종로구,37.5786168,126.9683592
호텔마누,한옥숙소,0,4.2,,서울 은평구,37.6413029,126.9388684
소설호텔,호텔,0,3.4,,서울 용산구,37.5348135,126.9937364
호텔스타,호텔,0,3.1,"주차가능,예약가능",서울 동작구,37.5051304,126.9407772
호텔스타프리미어 역삼,게스트하우스,0,2.1,,서울 마포구,37.5552731,126.9268144
호텔포코 성수,게스트하우스,0,3.6,"주차가능,반려견동반,예약가능,와이파이",서울 종로구,37.568925,126.9843489
호텔아르누보서초 주차장,게스트하우스,0,5,,서울 종로구,37.568925,126.9843489
BLVD 오라비지니스호텔,게스트하우스,0,3.1,,서울 종로구,37.568925,126.9843489
호텔유리앤,게스트하우스,0,3.4,,서울 종로구,37.568925,126.9843489
컬리넌호텔 구로,게스트하우스,0,3,,서울 종로구,37.568925,126.9843489
호텔컬리넌 역삼,게스트하우스,0,3.3,"주차가능,예약가능,와이파이",서울 종로구,37.568925,126.9843489
호텔컬리넌 왕십리,게스트하우스,0,2.2,,서울 종로구,37.568925,126.9843489
호텔케이월드,게스트하우스,0,3,"주차가능,예약가능,흡연실,와이파이",서울 종로구,37.568925,126.9843489
호텔크레센도 서울,호텔,0,3.4,,서울 마포구,37.5423405,126.9476288
호텔토마스 명동,호텔,0,3.9,,서울 종로구,37.5694143,126.9891127
호텔페이토 삼성,호텔,0,3.5,,서울 동대문구,37.5817246,127.0476563
호텔포코 성수,호텔,0,3.6,"주차가능,반려견동반,예약가능,와이파이",서울 송파구,37.5131296,127.1103527
홀리데이 인 익스프레스 서울 홍대,호텔,0,3.7,,서울 송파구,37.5106311,127.1064158
홍대스타일게스트하우스,호텔,0,5,,서울 강남구,37.5238998,127.0542114
화이트테일,"여관,모텔",0,5,,서울 강서구,37.528807,126.8463384
회랑정,주차장,0,4,,,37.5063608,127.0312266
